Bolilla 1,Bolilla 2,Bolilla 3,Bolilla 4,Bolilla 5,Bolilla 6
32.0,16.0,5.0,14.0,33.0,15 
27.0,24.0,10.0,16.0,2.0,29 
9.0,7.0,19.0,11.0,3.0,40 
14.0,33.0,16.0,25.0,2.0,07 
27.0,1.0,37.0,7.0,26.0,12 
37.0,13.0,8.0,6.0,35.0,11 
6.0,17.0,34.0,18.0,29.0,31 
18.0,32.0,35.0,40.0,19.0,04 
7.0,1.0,10.0,40.0,17.0,31 
21.0,40.0,8.0,27.0,31.0,37 
6.0,12.0,27.0,20.0,18.0,08 
24.0,38.0,15.0,10.0,35.0,21 
40.0,1.0,4.0,22.0,35.0,32 
7.0,29.0,30.0,5.0,15.0,36 
36.0,8.0,4.0,26.0,22.0,35 
11.0,5.0,18.0,17.0,15.0,08 
3.0,15.0,20.0,30.0,4.0,25 
38.0,19.0,14.0,9.0,26.0,25 
19.0,8.0,4.0,38.0,27.0,30 
34.0,32.0,40.0,22.0,16.0,04 
28.0,22.0,26.0,37.0,25.0,05 
23.0,36.0,18.0,32.0,38.0,30 
36.0,9.0,25.0,32.0,16.0,07 
29.0,37.0,10.0,4.0,30.0,17 
33.0,40.0,38.0,32.0,5.0,06 
20.0,28.0,19.0,21.0,29.0,11 
4.0,20.0,27.0,9.0,2.0,07 
35.0,24.0,16.0,8.0,17.0,27 
36.0,38.0,31.0,15.0,13.0,04 
10.0,29.0,30.0,3.0,12.0,23 
3.0,23.0,37.0,28.0,20.0,04 
20.0,31.0,23.0,36.0,5.0,14 
16.0,39.0,35.0,12.0,19.0,05 
5.0,9.0,19.0,18.0,11.0,34 
37.0,31.0,16.0,25.0,32.0,12 
6.0,12.0,29.0,36.0,37.0,09 
14.0,23.0,39.0,32.0,28.0,06 
14.0,19.0,15.0,35.0,27.0,25 
16.0,14.0,20.0,34.0,9.0,25 
11.0,5.0,13.0,14.0,26.0,40 
28.0,5.0,22.0,19.0,23.0,03 
16.0,28.0,17.0,12.0,25.0,03 
36.0,4.0,10.0,31.0,23.0,33 
14.0,6.0,10.0,8.0,5.0,25 
9.0,15.0,36.0,12.0,17.0,08 
25.0,34.0,23.0,33.0,12.0,09 
13.0,40.0,26.0,19.0,16.0,10 
40.0,15.0,12.0,26.0,3.0,36 
31.0,17.0,20.0,35.0,36.0,13 
21.0,30.0,4.0,17.0,29.0,36 
34.0,29.0,32.0,16.0,17.0,06 
27.0,39.0,33.0,14.0,29.0,26 
7.0,36.0,27.0,6.0,29.0,35 
35.0,6.0,29.0,34.0,24.0,31 
4.0,40.0,11.0,2.0,1.0,21 
16.0,36.0,32.0,2.0,26.0,06 
13.0,14.0,35.0,28.0,34.0,15 
8.0,37.0,4.0,9.0,19.0,40 
40.0,9.0,4.0,16.0,17.0,28 
32.0,37.0,8.0,27.0,20.0,17 
20.0,2.0,11.0,3.0,27.0,29 
25.0,23.0,1.0,11.0,35.0,16 
27.0,2.0,6.0,21.0,13.0,23 
13.0,1.0,35.0,24.0,30.0,16 
30.0,39.0,4.0,16.0,15.0,37 
22.0,11.0,30.0,13.0,25.0,09 
34.0,37.0,6.0,4.0,8.0,09 
22.0,26.0,16.0,7.0,15.0,24 
39.0,31.0,30.0,19.0,10.0,07 
33.0,9.0,3.0,14.0,34.0,23 
16.0,29.0,10.0,26.0,32.0,09 
23.0,31.0,32.0,35.0,16.0,27 
20.0,26.0,8.0,39.0,36.0,22 
31.0,18.0,32.0,21.0,15.0,10 
5.0,16.0,20.0,29.0,19.0,10 
32.0,19.0,40.0,26.0,39.0,08 
30.0,36.0,26.0,9.0,5.0,11 
13.0,38.0,7.0,5.0,30.0,31 
22.0,7.0,32.0,9.0,28.0,39 
40.0,19.0,21.0,30.0,3.0,29 
14.0,37.0,10.0,35.0,28.0,29 
27.0,3.0,35.0,38.0,17.0,33 
15.0,24.0,33.0,29.0,11.0,17 
32.0,31.0,26.0,21.0,22.0,39 
16.0,38.0,37.0,21.0,26.0,19 
21.0,20.0,27.0,17.0,39.0,18 
23.0,29.0,37.0,13.0,3.0,06 
2.0,19.0,27.0,39.0,20.0,14 
4.0,2.0,10.0,20.0,9.0,17 
9.0,27.0,39.0,24.0,34.0,22 
5.0,20.0,15.0,26.0,40.0,02 
20.0,1.0,16.0,26.0,5.0,17 
19.0,9.0,2.0,22.0,15.0,37 
11.0,12.0,6.0,18.0,16.0,04 
40.0,27.0,16.0,33.0,20.0,22 
29.0,18.0,23.0,22.0,9.0,24 
38.0,28.0,6.0,12.0,29.0,33 
17.0,24.0,37.0,19.0,5.0,14 
25.0,4.0,28.0,5.0,16.0,10 
19.0,13.0,29.0,26.0,33.0,31 
18.0,30.0,40.0,12.0,14.0,07 
27.0,35.0,21.0,29.0,23.0,26 
16.0,19.0,39.0,30.0,40.0,17 
4.0,39.0,25.0,22.0,21.0,28 
37.0,27.0,15.0,1.0,24.0,08 
9.0,35.0,34.0,2.0,6.0,27 
25.0,21.0,3.0,33.0,1.0,37 
3.0,23.0,17.0,2.0,8.0,31 
20.0,3.0,23.0,1.0,5.0,31 
22.0,38.0,31.0,18.0,32.0,09 
36.0,13.0,27.0,6.0,18.0,38 
5.0,30.0,8.0,6.0,22.0,03 
26.0,9.0,31.0,37.0,27.0,30 
2.0,3.0,19.0,8.0,22.0,34 
40.0,36.0,39.0,4.0,5.0,26 
25.0,26.0,10.0,6.0,5.0,01 
24.0,32.0,11.0,26.0,28.0,20 
22.0,16.0,37.0,26.0,13.0,15 
38.0,24.0,20.0,30.0,25.0,19 
19.0,12.0,22.0,6.0,7.0,02 
13.0,24.0,36.0,17.0,29.0,26 
26.0,22.0,6.0,5.0,20.0,24 
20.0,18.0,30.0,34.0,29.0,31 
37.0,3.0,22.0,17.0,15.0,33 
8.0,27.0,12.0,2.0,22.0,16 
27.0,40.0,20.0,8.0,29.0,25 
34.0,19.0,10.0,11.0,38.0,05 
5.0,30.0,19.0,11.0,22.0,27 
31.0,14.0,35.0,21.0,25.0,03 
2.0,27.0,12.0,34.0,36.0,40 
12.0,37.0,40.0,36.0,20.0,38 
26.0,39.0,40.0,5.0,37.0,04 
27.0,35.0,9.0,17.0,26.0,23 
27.0,31.0,13.0,33.0,18.0,10 
38.0,19.0,29.0,7.0,20.0,15 
7.0,34.0,21.0,15.0,1.0,20 
37.0,5.0,1.0,14.0,38.0,12 
35.0,17.0,20.0,4.0,37.0,12 
21.0,18.0,12.0,14.0,13.0,10 
34.0,2.0,24.0,1.0,38.0,12 
6.0,23.0,2.0,37.0,35.0,12 
23.0,37.0,13.0,22.0,16.0,20 
37.0,22.0,35.0,24.0,36.0,17 
21.0,20.0,6.0,31.0,38.0,03 
32.0,23.0,18.0,7.0,27.0,03 
31.0,4.0,1.0,2.0,6.0,11 
40.0,8.0,23.0,28.0,16.0,29 
12.0,13.0,25.0,30.0,19.0,38 
16.0,40.0,10.0,14.0,37.0,36 
28.0,3.0,9.0,23.0,4.0,34 
22.0,17.0,40.0,18.0,36.0,16 
19.0,18.0,3.0,21.0,32.0,22 
15.0,2.0,12.0,22.0,25.0,18 
27.0,7.0,33.0,11.0,36.0,08 
2.0,13.0,31.0,12.0,16.0,17 
30.0,23.0,16.0,7.0,28.0,15 
31.0,10.0,9.0,37.0,16.0,02 
32.0,22.0,25.0,37.0,3.0,29 
13.0,2.0,40.0,8.0,32.0,07 
22.0,30.0,5.0,32.0,27.0,07 
23.0,1.0,33.0,16.0,32.0,30 
23.0,31.0,14.0,12.0,2.0,29 
16.0,27.0,4.0,21.0,40.0,18 
36.0,14.0,35.0,40.0,12.0,30 
18.0,22.0,36.0,11.0,31.0,30 
28.0,26.0,35.0,6.0,11.0,19 
30.0,10.0,32.0,26.0,36.0,08 
13.0,12.0,25.0,31.0,32.0,35 
18.0,12.0,22.0,8.0,37.0,36 
13.0,29.0,11.0,7.0,32.0,31 
27.0,12.0,14.0,18.0,1.0,36 
3.0,28.0,12.0,26.0,32.0,16 
36.0,18.0,31.0,10.0,9.0,04 
17.0,18.0,20.0,3.0,21.0,05 
1.0,14.0,9.0,3.0,4.0,30 
21.0,5.0,18.0,7.0,29.0,37 
6.0,24.0,9.0,19.0,21.0,30 
10.0,16.0,29.0,19.0,4.0,27 
1.0,32.0,11.0,2.0,28.0,03 
29.0,39.0,8.0,20.0,13.0,30 
3.0,34.0,14.0,1.0,29.0,20 
8.0,7.0,19.0,11.0,33.0,06 
27.0,5.0,1.0,22.0,19.0,35 
38.0,28.0,27.0,36.0,8.0,14 
33.0,4.0,1.0,35.0,9.0,15 
21.0,38.0,10.0,34.0,18.0,19 
16.0,7.0,39.0,9.0,31.0,17 
18.0,35.0,13.0,17.0,39.0,03 
26.0,8.0,31.0,3.0,20.0,23 
16.0,13.0,29.0,15.0,38.0,31 
16.0,20.0,40.0,17.0,31.0,18 
8.0,28.0,10.0,31.0,39.0,04 
3.0,21.0,40.0,18.0,9.0,33 
21.0,16.0,11.0,7.0,33.0,39 
11.0,37.0,8.0,28.0,5.0,10 
22.0,6.0,38.0,13.0,2.0,16 
7.0,36.0,29.0,17.0,12.0,25 
37.0,12.0,22.0,19.0,4.0,08 
21.0,36.0,26.0,25.0,10.0,18 
14.0,17.0,26.0,1.0,13.0,25 
29.0,36.0,38.0,5.0,23.0,16 
21.0,20.0,5.0,33.0,7.0,03 
11.0,2.0,20.0,9.0,27.0,31 
21.0,14.0,16.0,36.0,3.0,23 
35.0,24.0,5.0,13.0,4.0,15 
14.0,20.0,3.0,27.0,6.0,23 
17.0,34.0,27.0,7.0,11.0,28 
22.0,3.0,39.0,11.0,26.0,31 
30.0,8.0,17.0,27.0,36.0,37 
15.0,2.0,1.0,27.0,5.0,24 
22.0,2.0,21.0,9.0,26.0,40 
22.0,4.0,21.0,35.0,39.0,36 
5.0,8.0,6.0,17.0,29.0,12 
19.0,23.0,7.0,17.0,6.0,09 
7.0,12.0,23.0,32.0,38.0,04 
33.0,18.0,16.0,4.0,12.0,21 
1.0,14.0,2.0,6.0,18.0,05 
22.0,2.0,26.0,9.0,25.0,12 
3.0,35.0,1.0,15.0,34.0,08 
14.0,37.0,32.0,8.0,19.0,04 
25.0,23.0,22.0,32.0,27.0,11 
29.0,35.0,39.0,23.0,30.0,13 
8.0,20.0,38.0,39.0,35.0,01 
26.0,27.0,5.0,19.0,32.0,16 
7.0,3.0,11.0,4.0,25.0,32 
2.0,15.0,24.0,20.0,21.0,31 
14.0,30.0,18.0,33.0,24.0,04 
32.0,34.0,12.0,7.0,39.0,21 
32.0,3.0,40.0,26.0,15.0,16 
6.0,30.0,26.0,40.0,31.0,14 
9.0,36.0,11.0,40.0,19.0,06 
33.0,14.0,36.0,24.0,37.0,28 
28.0,26.0,12.0,30.0,39.0,08 
26.0,8.0,29.0,22.0,28.0,20 
1.0,2.0,12.0,19.0,34.0,09 
5.0,23.0,9.0,1.0,10.0,30 
35.0,12.0,37.0,30.0,16.0,31 
32.0,5.0,25.0,15.0,17.0,03 
16.0,5.0,21.0,1.0,39.0,18 
6.0,22.0,20.0,9.0,28.0,36 
30.0,14.0,18.0,21.0,33.0,08 
31.0,10.0,28.0,18.0,2.0,08 
35.0,5.0,2.0,16.0,39.0,32 
2.0,13.0,26.0,32.0,24.0,39 
15.0,22.0,9.0,21.0,2.0,28 
32.0,23.0,7.0,21.0,35.0,40 
24.0,2.0,18.0,13.0,37.0,12 
19.0,36.0,39.0,1.0,32.0,38 
20.0,11.0,22.0,21.0,7.0,37 
27.0,10.0,13.0,28.0,4.0,19 
16.0,4.0,21.0,2.0,11.0,39 
34.0,18.0,21.0,36.0,27.0,39 
9.0,17.0,2.0,7.0,19.0,34 
26.0,9.0,5.0,1.0,16.0,06 
2.0,17.0,23.0,5.0,22.0,14 
17.0,18.0,33.0,7.0,5.0,40 
40.0,2.0,39.0,30.0,33.0,28 
25.0,16.0,18.0,20.0,14.0,11 
14.0,4.0,5.0,18.0,32.0,28 
27.0,9.0,8.0,10.0,22.0,23 
37.0,16.0,10.0,35.0,25.0,22 
30.0,9.0,19.0,8.0,13.0,26 
34.0,29.0,15.0,23.0,40.0,06 
32.0,36.0,33.0,37.0,5.0,02 
19.0,28.0,22.0,14.0,37.0,04 
36.0,33.0,1.0,40.0,35.0,28 
9.0,12.0,17.0,19.0,10.0,13 
36.0,2.0,32.0,9.0,14.0,13 
30.0,4.0,34.0,37.0,2.0,31 
26.0,14.0,25.0,40.0,29.0,06 
40.0,10.0,27.0,38.0,21.0,26 
29.0,12.0,28.0,18.0,8.0,27 
33.0,21.0,11.0,2.0,7.0,31 
3.0,19.0,6.0,26.0,5.0,23 
13.0,14.0,19.0,7.0,9.0,01 
20.0,8.0,34.0,14.0,30.0,16 
26.0,24.0,18.0,12.0,20.0,29 
25.0,23.0,38.0,20.0,26.0,19 
21.0,20.0,17.0,12.0,40.0,03 
10.0,28.0,31.0,26.0,22.0,38 
22.0,9.0,32.0,4.0,17.0,15 
13.0,28.0,19.0,3.0,27.0,16 
20.0,15.0,21.0,25.0,5.0,36 
18.0,32.0,38.0,7.0,27.0,10 
31.0,12.0,13.0,5.0,23.0,07 
10.0,30.0,33.0,38.0,3.0,35 
5.0,30.0,27.0,2.0,7.0,15 
30.0,31.0,7.0,16.0,21.0,40 
25.0,3.0,16.0,29.0,7.0,33 
27.0,15.0,37.0,28.0,21.0,04 
4.0,39.0,16.0,1.0,33.0,06 
14.0,13.0,4.0,24.0,22.0,12 
38.0,16.0,39.0,9.0,25.0,29 
3.0,35.0,28.0,9.0,39.0,40 
20.0,10.0,38.0,24.0,40.0,23 
7.0,4.0,11.0,38.0,14.0,35 
32.0,33.0,25.0,37.0,6.0,18 
9.0,32.0,34.0,29.0,11.0,26 
6.0,16.0,14.0,13.0,26.0,07 
20.0,22.0,23.0,15.0,2.0,34 
39.0,34.0,30.0,8.0,4.0,14 
27.0,29.0,39.0,10.0,22.0,32 
2.0,33.0,28.0,26.0,18.0,35 
36.0,6.0,33.0,17.0,30.0,10 
26.0,12.0,33.0,22.0,34.0,23 
10.0,36.0,31.0,9.0,22.0,13 
2.0,20.0,17.0,22.0,36.0,26 
26.0,38.0,22.0,12.0,31.0,08 
37.0,5.0,3.0,16.0,18.0,31 
2.0,28.0,39.0,18.0,25.0,32 
39.0,26.0,7.0,30.0,38.0,34 
11.0,32.0,31.0,30.0,17.0,02 
17.0,9.0,7.0,3.0,36.0,32 
39.0,31.0,27.0,3.0,1.0,24 
34.0,6.0,16.0,35.0,5.0,22 
27.0,23.0,18.0,4.0,25.0,32 
5.0,10.0,19.0,37.0,18.0,29 
6.0,39.0,7.0,23.0,4.0,17 
31.0,35.0,26.0,6.0,32.0,12 
23.0,24.0,1.0,3.0,35.0,31 
3.0,28.0,23.0,31.0,25.0,20 
29.0,19.0,30.0,40.0,18.0,23 
15.0,35.0,4.0,31.0,27.0,16 
25.0,27.0,22.0,6.0,33.0,09 
5.0,39.0,2.0,15.0,35.0,13 
13.0,16.0,5.0,33.0,3.0,40 
19.0,23.0,12.0,38.0,8.0,34 
7.0,32.0,34.0,28.0,37.0,14 
20.0,3.0,5.0,7.0,39.0,12 
36.0,10.0,40.0,28.0,6.0,04 
29.0,1.0,24.0,37.0,17.0,36 
3.0,33.0,40.0,20.0,31.0,09 
6.0,33.0,3.0,24.0,10.0,15 
37.0,10.0,38.0,6.0,34.0,25 
21.0,23.0,14.0,40.0,18.0,28 
11.0,33.0,7.0,2.0,13.0,26 
17.0,3.0,23.0,10.0,32.0,39 
3.0,12.0,9.0,6.0,28.0,14 
37.0,5.0,22.0,2.0,32.0,11 
6.0,11.0,10.0,15.0,2.0,29 
39.0,25.0,7.0,22.0,18.0,32 
16.0,25.0,26.0,24.0,13.0,22 
31.0,21.0,17.0,15.0,28.0,19 
4.0,37.0,15.0,26.0,2.0,33 
20.0,38.0,28.0,24.0,33.0,27 
15.0,40.0,18.0,33.0,28.0,09 
12.0,34.0,6.0,28.0,2.0,11 
34.0,1.0,24.0,28.0,13.0,02 
17.0,34.0,27.0,36.0,22.0,25 
12.0,6.0,27.0,26.0,19.0,40 
18.0,29.0,17.0,11.0,9.0,22 
7.0,10.0,12.0,21.0,13.0,30 
37.0,33.0,19.0,32.0,21.0,05 
35.0,18.0,31.0,12.0,29.0,15 
23.0,5.0,8.0,3.0,29.0,02 
33.0,3.0,11.0,29.0,39.0,36 
6.0,1.0,38.0,36.0,9.0,04 
24.0,38.0,34.0,39.0,17.0,16 
12.0,24.0,6.0,7.0,37.0,14 
35.0,15.0,21.0,19.0,32.0,26 
37.0,35.0,30.0,13.0,22.0,16 
14.0,37.0,21.0,4.0,20.0,30 
24.0,12.0,14.0,38.0,15.0,04 
32.0,21.0,26.0,29.0,27.0,17 
6.0,4.0,10.0,7.0,40.0,22 
6.0,5.0,11.0,4.0,22.0,15 
12.0,29.0,27.0,26.0,14.0,25 
40.0,31.0,34.0,9.0,15.0,27 
39.0,11.0,13.0,24.0,4.0,09 
40.0,9.0,26.0,32.0,36.0,10 
5.0,25.0,12.0,7.0,30.0,32 
35.0,19.0,1.0,22.0,30.0,13 
13.0,2.0,8.0,22.0,15.0,39 
29.0,40.0,30.0,3.0,5.0,09 
25.0,19.0,9.0,11.0,13.0,33 
38.0,40.0,29.0,25.0,11.0,34 
13.0,14.0,17.0,4.0,3.0,01 
21.0,25.0,1.0,34.0,36.0,05 
30.0,9.0,33.0,1.0,11.0,22 
8.0,37.0,29.0,13.0,32.0,05 
23.0,4.0,31.0,15.0,3.0,32 
20.0,12.0,33.0,2.0,27.0,10 
39.0,25.0,36.0,16.0,1.0,26 
20.0,26.0,6.0,21.0,27.0,24 
34.0,17.0,31.0,37.0,33.0,23 
19.0,13.0,24.0,10.0,16.0,23 
33.0,26.0,7.0,29.0,31.0,09 
21.0,26.0,30.0,20.0,24.0,13 
23.0,38.0,4.0,20.0,1.0,34 
10.0,20.0,33.0,13.0,5.0,23 
14.0,18.0,5.0,40.0,11.0,13 
26.0,28.0,25.0,17.0,11.0,22 
23.0,21.0,34.0,36.0,3.0,01 
27.0,31.0,29.0,12.0,3.0,15 
13.0,5.0,8.0,35.0,26.0,39 
4.0,23.0,3.0,34.0,13.0,15 
10.0,38.0,7.0,13.0,18.0,05 
13.0,21.0,12.0,39.0,29.0,03 
12.0,25.0,35.0,7.0,37.0,33 
39.0,30.0,33.0,18.0,37.0,13 
3.0,34.0,21.0,9.0,38.0,33 
39.0,32.0,38.0,23.0,8.0,18 
40.0,19.0,17.0,8.0,34.0,35 
40.0,37.0,19.0,30.0,25.0,33 
29.0,38.0,36.0,24.0,14.0,35 
2.0,15.0,32.0,29.0,8.0,39 
13.0,7.0,15.0,23.0,19.0,21 
25.0,20.0,34.0,32.0,1.0,23 
10.0,5.0,2.0,23.0,11.0,36 
24.0,40.0,8.0,3.0,16.0,17 
5.0,20.0,16.0,33.0,39.0,10 
27.0,28.0,33.0,20.0,39.0,24 
25.0,6.0,39.0,16.0,40.0,04 
19.0,1.0,25.0,24.0,23.0,11 
22.0,10.0,33.0,24.0,38.0,12 
25.0,7.0,17.0,36.0,18.0,24 
13.0,24.0,37.0,21.0,26.0,23 
12.0,22.0,30.0,27.0,16.0,31 
40.0,16.0,35.0,29.0,3.0,20 
36.0,27.0,17.0,15.0,9.0,39 
23.0,19.0,40.0,37.0,4.0,25 
24.0,29.0,40.0,10.0,8.0,33 
19.0,17.0,38.0,24.0,27.0,25 
9.0,23.0,2.0,25.0,36.0,03 
21.0,35.0,14.0,1.0,4.0,23 
27.0,28.0,5.0,10.0,13.0,25 
34.0,3.0,10.0,8.0,18.0,01 
4.0,9.0,2.0,24.0,30.0,33 
22.0,8.0,19.0,6.0,38.0,33 
19.0,1.0,12.0,2.0,11.0,29 
12.0,31.0,5.0,34.0,35.0,30 
2.0,1.0,37.0,4.0,34.0,06 
39.0,18.0,38.0,31.0,5.0,15 
30.0,10.0,27.0,38.0,17.0,03 
38.0,35.0,11.0,34.0,27.0,40 
13.0,22.0,6.0,3.0,27.0,05 
4.0,14.0,29.0,19.0,1.0,34 
28.0,13.0,26.0,21.0,22.0,07 
27.0,20.0,8.0,16.0,2.0,06 
33.0,16.0,28.0,25.0,2.0,38 
34.0,40.0,4.0,5.0,13.0,35 
22.0,34.0,4.0,12.0,17.0,30 
19.0,16.0,7.0,40.0,31.0,01 
32.0,27.0,11.0,28.0,34.0,26 
36.0,27.0,35.0,7.0,5.0,18 
37.0,7.0,29.0,31.0,26.0,09 
13.0,7.0,40.0,16.0,20.0,37 
29.0,12.0,4.0,28.0,13.0,19 
30.0,37.0,14.0,15.0,27.0,05 
18.0,40.0,5.0,11.0,14.0,07 
28.0,30.0,38.0,34.0,3.0,13 
18.0,4.0,29.0,16.0,13.0,25 
4.0,8.0,27.0,33.0,23.0,07 
17.0,12.0,26.0,9.0,19.0,23 
26.0,29.0,36.0,39.0,4.0,35 
39.0,18.0,21.0,8.0,31.0,26 
11.0,5.0,14.0,12.0,15.0,28 
7.0,26.0,38.0,19.0,1.0,32 
29.0,1.0,39.0,5.0,36.0,17 
20.0,22.0,15.0,8.0,34.0,18 
10.0,14.0,11.0,16.0,7.0,30 
23.0,4.0,27.0,31.0,20.0,17 
35.0,22.0,9.0,10.0,3.0,07 
23.0,26.0,5.0,1.0,13.0,39 
19.0,17.0,34.0,27.0,4.0,15 
34.0,3.0,7.0,1.0,33.0,04 
5.0,6.0,34.0,14.0,38.0,35 
25.0,13.0,30.0,16.0,33.0,39 
13.0,4.0,29.0,16.0,34.0,26 
27.0,19.0,23.0,6.0,33.0,17 
17.0,18.0,33.0,39.0,9.0,02 
34.0,13.0,39.0,35.0,7.0,28 
11.0,6.0,38.0,5.0,16.0,35 
25.0,5.0,29.0,18.0,13.0,15 
21.0,32.0,26.0,20.0,31.0,01 
30.0,17.0,7.0,15.0,39.0,06 
33.0,21.0,18.0,9.0,38.0,37 
11.0,6.0,30.0,18.0,32.0,20 
1.0,4.0,40.0,5.0,30.0,23 
20.0,4.0,10.0,28.0,25.0,38 
10.0,18.0,22.0,27.0,23.0,12 
7.0,5.0,33.0,11.0,24.0,28 
26.0,37.0,25.0,34.0,17.0,31 
34.0,20.0,11.0,25.0,26.0,27 
20.0,40.0,36.0,35.0,4.0,29 
10.0,31.0,12.0,8.0,22.0,27 
34.0,39.0,37.0,21.0,24.0,38 
34.0,16.0,31.0,27.0,18.0,04 
34.0,22.0,10.0,26.0,28.0,39 
29.0,35.0,22.0,21.0,15.0,11 
28.0,27.0,32.0,18.0,9.0,06 
25.0,9.0,40.0,22.0,35.0,15 
2.0,23.0,17.0,11.0,10.0,38 
34.0,18.0,20.0,12.0,26.0,04 
31.0,34.0,24.0,22.0,29.0,04 
39.0,14.0,18.0,8.0,16.0,28 
31.0,32.0,24.0,25.0,33.0,20 
16.0,21.0,31.0,35.0,3.0,33 
39.0,6.0,28.0,37.0,14.0,15 
12.0,8.0,14.0,28.0,40.0,18 
2.0,4.0,21.0,14.0,40.0,31 
3.0,13.0,33.0,18.0,14.0,26 
15.0,12.0,17.0,37.0,38.0,10 
27.0,23.0,20.0,31.0,15.0,22 
30.0,6.0,12.0,22.0,7.0,35 
19.0,12.0,33.0,29.0,15.0,10 
18.0,11.0,24.0,13.0,6.0,26 
25.0,36.0,19.0,32.0,37.0,27 
25.0,33.0,2.0,6.0,9.0,12 
39.0,12.0,10.0,18.0,31.0,11 
13.0,7.0,31.0,34.0,20.0,30 
19.0,39.0,33.0,35.0,26.0,06 
35.0,5.0,33.0,37.0,4.0,16 
39.0,28.0,10.0,1.0,5.0,40 
37.0,32.0,22.0,27.0,23.0,33 
19.0,30.0,22.0,33.0,18.0,13 
13.0,3.0,37.0,18.0,29.0,17 
20.0,40.0,23.0,35.0,19.0,39 
10.0,34.0,33.0,4.0,19.0,27 
36.0,15.0,10.0,22.0,20.0,12 
36.0,24.0,34.0,11.0,29.0,04 
25.0,23.0,6.0,2.0,22.0,36 
2.0,8.0,32.0,33.0,3.0,10 
37.0,21.0,8.0,20.0,7.0,03 
25.0,30.0,32.0,26.0,27.0,09 
15.0,4.0,37.0,8.0,22.0,30 
1.0,14.0,7.0,9.0,36.0,23 
40.0,24.0,19.0,28.0,18.0,34 
12.0,24.0,33.0,19.0,14.0,03 
3.0,19.0,16.0,15.0,6.0,34 
15.0,5.0,38.0,31.0,39.0,35 
12.0,17.0,40.0,25.0,35.0,29 
11.0,17.0,38.0,9.0,16.0,06 
24.0,22.0,11.0,26.0,37.0,16 
38.0,39.0,32.0,10.0,2.0,36 
5.0,39.0,38.0,25.0,36.0,33 
28.0,4.0,37.0,20.0,31.0,10 
32.0,14.0,27.0,7.0,36.0,12 
14.0,25.0,33.0,9.0,30.0,06 
30.0,24.0,27.0,8.0,40.0,37 
20.0,4.0,25.0,6.0,29.0,01 
4.0,29.0,23.0,18.0,1.0,37 
7.0,2.0,9.0,25.0,24.0,37 
40.0,7.0,34.0,21.0,31.0,19 
22.0,39.0,17.0,11.0,7.0,04 
8.0,20.0,17.0,3.0,24.0,10 
28.0,4.0,16.0,27.0,23.0,30 
6.0,1.0,27.0,39.0,35.0,11 
8.0,11.0,25.0,20.0,2.0,17 
2.0,38.0,14.0,35.0,16.0,09 
3.0,15.0,38.0,30.0,21.0,39 
18.0,14.0,19.0,4.0,30.0,10 
34.0,30.0,27.0,39.0,22.0,03 
33.0,39.0,8.0,27.0,6.0,26 
32.0,16.0,8.0,3.0,2.0,38 
1.0,28.0,36.0,16.0,35.0,33 
16.0,4.0,24.0,22.0,5.0,26 
19.0,5.0,24.0,3.0,6.0,10 
32.0,29.0,8.0,19.0,3.0,30 
26.0,25.0,27.0,21.0,5.0,28 
8.0,19.0,6.0,31.0,36.0,40 
20.0,40.0,1.0,27.0,30.0,23 
21.0,8.0,32.0,15.0,17.0,13 
14.0,8.0,40.0,28.0,30.0,21 
22.0,10.0,5.0,23.0,15.0,36 
19.0,37.0,13.0,4.0,27.0,12 
22.0,38.0,24.0,20.0,37.0,19 
19.0,14.0,16.0,21.0,20.0,26 
16.0,32.0,20.0,29.0,3.0,13 
4.0,34.0,32.0,19.0,20.0,01 
6.0,13.0,27.0,10.0,35.0,19 
17.0,34.0,6.0,10.0,22.0,33 
34.0,35.0,16.0,13.0,32.0,31 
14.0,1.0,9.0,8.0,15.0,37 
3.0,18.0,30.0,12.0,22.0,33 
22.0,19.0,38.0,29.0,5.0,06 
19.0,28.0,8.0,7.0,14.0,40 
6.0,13.0,4.0,22.0,9.0,07 
34.0,13.0,5.0,19.0,29.0,24 
32.0,19.0,13.0,35.0,14.0,21 
28.0,3.0,33.0,18.0,25.0,34 
27.0,23.0,34.0,21.0,3.0,30 
32.0,23.0,19.0,16.0,7.0,37 
19.0,11.0,32.0,17.0,35.0,08 
29.0,35.0,33.0,10.0,4.0,14 
29.0,22.0,20.0,27.0,30.0,19 
2.0,20.0,35.0,4.0,8.0,26 
27.0,16.0,21.0,35.0,31.0,12 
34.0,18.0,14.0,19.0,32.0,33 
7.0,12.0,34.0,21.0,31.0,23 
2.0,21.0,40.0,23.0,1.0,20 
23.0,20.0,14.0,19.0,15.0,31 
26.0,17.0,9.0,23.0,22.0,40 
21.0,28.0,38.0,14.0,1.0,25 
11.0,36.0,9.0,10.0,7.0,14 
16.0,2.0,23.0,21.0,36.0,01 
10.0,11.0,9.0,31.0,39.0,03 
13.0,1.0,35.0,39.0,15.0,30 
20.0,15.0,23.0,31.0,39.0,11 
15.0,4.0,28.0,27.0,22.0,02 
8.0,27.0,9.0,18.0,23.0,17 
11.0,7.0,16.0,28.0,10.0,14 
2.0,13.0,1.0,33.0,26.0,19 
31.0,23.0,20.0,8.0,5.0,26 
20.0,29.0,26.0,40.0,7.0,03 
29.0,40.0,6.0,38.0,25.0,19 
